Event 20100516063454 Model utu06_010 FM   0 69  75 Mw 2.80 rms 1.914e-10  2002 ERR   0   0   0 ISO 22.89 0.00 CLVD -20.00 0.00
# Variance reduction 15.0
# tensor = 1.995e+20 -0.0098  0.1618 -0.2065 -0.0556 -0.6415  1.0179
PLMK_XP    11.2/-0.49 1 1.77e-10 91  0.09 1 1.28e-10 86  0.09 1 4.41e-10 81  2.02 1 6.76e-10 63  2.02 1 3.98e-10 77  0.07  1
PLLO_XP    13.7/-0.45 1 3.95e-11 72 -0.06 1 1.37e-10 41 -0.06 1 7.10e-11 78  1.93 1 9.55e-11  0  1.93 1 1.41e-10 78  3.11  1
PLLL_XP    18.1/-0.23 1 1.94e-12 44 -0.06 1 4.82e-12 35 -0.06 1 6.29e-11 44  0.64 1 5.01e-11 51  0.64 1 5.35e-10 61  3.98  1
PLQU_XP    17.6/-0.73 1 1.40e-10 72  0.16 1 1.16e-10 46  0.16 1 1.28e-10 37  2.82 1 6.24e-10 46  2.82 1 9.19e-10 45  3.76 -1
PLSM_XP    19.2/-0.61 1 1.47e-11 56  0.11 1 1.09e-11 41  0.11 1 4.11e-11  0  3.19 1 7.51e-11 39  3.19 1 4.03e-10 92  3.75 -1
PLLA_XP    20.8/-0.87 1 1.13e-11 75  0.20 1 5.96e-11 27  0.20 1 1.64e-10 62  3.02 1 2.42e-10 54  3.02 1 5.49e-11 51  1.11 -1
PLTM_XP    21.9/-0.45 1 1.26e-10 81  0.08 1 1.02e-10  2  0.08 1 6.73e-11  4  5.00 1 5.13e-10 68  5.00 1 9.84e-10 71  4.35  1
PLRR_XP    31.3/-0.32 1 4.25e-11 82  0.05 1 3.67e-11 69  0.05 1 4.83e-10 15  2.55 1 2.70e-10 40  2.55 1 3.75e-10 32  5.00  1
PLAR_XP    33.0/-0.50 1 9.68e-12 40  0.20 1 2.78e-12 19  0.20 1 8.55e-11 50  3.84 1 1.11e-10 18  3.84 1 1.24e-10 34  3.77  1
PL03_XP    36.7/-0.77 1 6.20e-11 76  0.14 1 6.44e-11 50  0.14 1 1.21e-10  0  4.13 1 1.96e-10  9  4.13 1 1.75e-10 25  1.97  1
PLSQ_XP    49.9/-1.17 1 2.89e-11 65  0.16 1 1.44e-10 63  0.16 1 1.29e-10 32  2.74 1 1.95e-10 21  2.74 1 1.17e-10 27  3.60 -1
